text	rating	consumer_id	language	reply_message	consumer_countryCode	consumersReviewCountOnSameDomain	dates_publishedDate	consumer_numberOfReviews	reply_publishedDate	likes	consumer_isVerified	title
A Kafkaesque experience. Endless loops, nonintuitive, arrogant customer service. I'm out.	1	6685471f240d5610e5fe1cbf	en		BE	1	2024-07-03T14:44:58.000Z	2		0	False	Not recommended
"Je suis dans cette banque depuis des années maintenant.
Je n'ai rien à redire. C'était déjà très bien et cela s'améliore encore. "	5	64a667b48c1524001206d594	fr	"Bonjour Mino,

Nous sommes ravis d'entendre que vous appréciez notre service. Merci pour vos commentaires positifs!

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-07-01T08:18:13.000Z	2	2024-07-05T08:24:44.000Z	0	False	Toujours mieux 
"Comme l'indique une autre personne, mails hyper harcèlants et intrusifs pour fournir des données personnelles socio-économiques et financières. On vous demande pourquoi vous faites tel virement, de justifier l'origine de fonds qui proviennent d'une autre banque belge, qui a donc déjà effectué le contrôle.
Et comme a un moment j'ai décidé de ne plus leur répondre car c'est une intrusion grave dans ma vie privée, ils m'ont donné 2 mois pour transférer mon argent vers une autre banque et ils vont clôturer la relation.
Sous prétexte de la législation KYC (know your customer), ils veulent savoir ce que je fais avec MON ARGENT.
Et quand on demande de parler avec un employé de ce département, on vous dit qu'ils ne peuvent pas vous parler pour des raisons de sécurité, n'importe quoi! Que pourrais-je faire à quelqu'un qui ne me communique pas son nom?
C'est une véritable arnaque, comme cela ils ne sont pas obligés de payer la prime de fidélité sur l'épargne puisqu'ils ne me permettent pas de laisser mon argent 1 an. Ce sont des voleurs.
Fuyez cette banque!"	1	667b134b5fdffe3b1084ba95	fr		BE	1	2024-06-25T20:58:26.000Z	1		0	False	Banque arnaqueuse et intrusive
Ik belde het nummer +32 8 679 90 00 en kreeg een man aan de lijn die absoluut niet wilde luisteren naar wat ik te zeggen had, hij herhaalde maar dat niet naar hem luisterde en dat ik een inlogcode nodig had en als ik zeg die heb ik zegt hij meneer als u mij onderbreekt leg ik af. en dat heeft hij dan ook gedaan nadat ik nogmaals aangaf de inlog code te hebben..	1	612f42b4e5619300129c694e	nl	"Beste heer Zwiekhorst,

We betreuren wat u blijkbaar hebt ervaren. 
We streven constant naar verbetering van onze dienstverlening en we zullen dus uw feedback zeker gebruiken.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team
"	NL	1	2024-06-21T15:29:10.000Z	5	2024-06-25T08:55:12.000Z	0	True	Heel slecht telefonisch ontvangen, niet geholpen
- aucun gestionnaire personnel ne nous est attribué, donc très difficile de régler des problèmes quels qu'ils soient. - Questions indiscrètes quant aux transactions quels qu'ils soient. - Blocage du compte durant 1 semaine et demi sans raison valable ni explication. Déplorable quand on a que ce compte pour toute ressource.  - Non exécution de virement durant plus de 10 jours alors que déjà débité de mon compte... - Refus de l'octroi d'une carte de crédit, alors que cette dernière a toujours été remboursée à heure et à temps depuis plus de 10 ans. Pourquoi ?? A savoir que cette carte était devenue défectueuse (la puce), raison pour laquelle elle a été redemandée. Déplorable !- Aucun contact possible avec votre service Know your Customer KYC, qui bloque les comptes. - Keytrade n'adhère pas à la mobilité interbancaire comme toute autre banque Belge. Lamentable - Étant mandataire sur un compte Keytrade de mon compagnon, il est parti pour les mêmes raisons.   - la grossièreté de vos employés. - le délai pour transférer mon compte professionnel est trop long (plus de 2 semaines). pourquoi ? 	1	5d6ff9cbe9e2517c70879e14	fr	"Bonjour Snc Maral,

Nous sommes désolés que vous ayez eu cette expérience.
Votre satisfaction est notre priorité et nous prenons votre feedback au sérieux. 
Concernant le transfert de votre compte, nous apprécions votre patience et traitons vos préoccupations le plus rapidement possible.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-06-19T12:33:27.000Z	9	2024-06-25T08:46:31.000Z	0	False	- aucun gestionnaire personnel ne nous est attribué, donc très difficile de régler des problèmes quels qu'ils soient. - Questions indiscrètes quant aux transactions quels qu'ils soient. - Blocage du c
"And the worth online customer experience ever created online goes to...
Full of bugs, loops and other painful experiences. Just avoid these guys, they simply should disappear from the market.. sorry"	1	612c9d62964c2d00132251c4	en		BE	1	2024-06-12T21:48:47.000Z	5		1	False	And the worth online customer…
"Le  service back office de cette banque est défaillant: impossibilité de les joindre par téléphone et leur service qualité trouve tout à fait normal de s'octroyer un mois de délai pour répondre à une réclamation!
Voir leur réponse ci-dessous:
Si votre e-mail concerne une réclamation, elle sera traitée endéans les délais suivants :,
Pour les réclamations qui concernent les services et opérations de paiement : 15 jours ouvrables pour apporter une réponse à l’ensemble des points de la réclamation (sans dépasser 35 jours ouvrables si une réponse ne peut être donnée dans les quinze jours ouvrables pour des raisons échappant au contrôle de Keytrade Bank) ;
Pour les autres types de réclamation : 4 semaines."	1	6236cefddac5c800120e7885	fr	"Bonjour Monsieur,

Nous regrettons profondément d'entendre parler de votre expérience. 
Nous aimerions en savoir plus sur votre situation et travailler à une résolution.

Cordialement,
Véronique de l'équipe Keytrade Bank"	LU	1	2024-06-12T08:12:09.000Z	2	2024-06-19T09:13:40.000Z	0	False	Service back office défaillant
There was an issue regarding a stock split, but I got an answer by email within 12 hours. It looks like they have improved their customer service again after a bad period.	5	64be3ac6c7ef880011e8945d	en		BE	1	2024-06-11T15:12:12.000Z	1		1	False	Helpdesk by email.
Na een lange wachttijd eindelijk een medewerker aan de lijn gehad met de vraag waarom mijn kaart niet aan Payconiq gelinkt wordt. Uiteindelijk krijg je een email met de nodige uitleg en het verzoek om terug te bellen als het niet lukt. Opnieuw kon de kaart niet gelinkt worden en dus opnieuw gebeld. Een ander medewerker wist dan te vertellen dat er een probleem is met de relatie Payconiq en Keytradebank. Er volgde een heel omslachtige, onbegrijpelijke uitleg ... met als resultaat : gewoon afwachten tot het probleem opgelost is. 	1	66507f27d11b295fd32d1b26	nl	"Beste heer Ras,

Bedankt voor uw feedback. 
Het klopt dat uw kaart momenteel niet gelinkt kan worden aan Payconiq. 
Weet dat we aan het werken zijn om dit wel mogelijk te maken. Het zal nog enkele weken in beslag nemen. Wij waarderen uw geduld. Onze excuses voor het ongemak.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-06-06T11:48:20.000Z	2	2024-06-14T07:57:12.000Z	0	True	Keytrade & Payconiq
"Rekeningen afsluiten.
TF 026799000  geen reactie ""al onze lijnen zijn bezet""
drie keer opgeroepen geen teken van leven +- 120 min al gebeld. Verschillende mails gedaan geen reactie. Ik ben ten einde raad en al mijne tijd aan verspild. IK zal uiteindelijk dit moeten oplossen via een aangetekend schrijven of via testaankoop een klacht indienen. Dit probleem is al vanaf 13/02/2024 aan de gang. Moet er nog zand zijn??? Klantenservice onder nul."	1	54e874970000ff0001ac9572	nl	"Beste heer Gyssens,

Onze excuses voor wat u hebt ervaren. Een medewerker is uw aanvraag aan het behandelen. Wij waarderen uw geduld. 

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-06-05T12:12:52.000Z	6	2024-06-14T14:18:44.000Z	1	False	Rekeningen afsluiten.
Vlotte werking; mooie rente; goed overzicht bij de diverse deelrubrieken.	4	665de8e72ea26788808d8eab	nl		BE	1	2024-06-03T18:01:44.000Z	1		0	False	Vlotte werking
Had per ongeluk een overschrijving gedaan naar verkeerde bankrekening. Naar hun helpdesk gebeld en gevraagd of ze me konden helpen met het bedrag terug te vorderen. Het antwoord was neen, tot als ik zei dat ze wettelijk verplicht zijn hiervoor een dossier te openen en hiervoor al het mogelijke doen. Toen konden ze plots wel een dossier openen en gingen ze mij binnen de 48u op de hoogte houden? Tot op heden niets gezien of gehoord. Gelukkig was de andere rekeninghouder zo vriendelijk om het bedrag meteen terug te storten. 	1	5b294bbf4de5666d349945ad	nl	"Beste Fred Flinstone,

We betreuren wat u blijkbaar hebt ervaren. De tevredenheid van onze klanten is onze topprioriteit. Vandaar dat we uw feedback zeker meenemen. 

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-06-03T10:23:04.000Z	4	2024-06-14T10:44:55.000Z	0	False	Geen hulp
"Eenvoudig en voordelig 
"	5	620aaf26e6b7310012a46249	nl		BE	1	2024-06-01T17:09:56.000Z	3		0	False	Eenvoudig en voordelig
"Je suis client de cette banque depuis quelques années et le service est nickel. En plus les comptes et cartes sont gratuits. 
Seul bémol: la carte de débit actuelle ne permet plus de payer entre amis via l’application Bancontact/payconiq. "	5	5a904c3368b736becce9520c	fr		BE	1	2024-06-01T13:49:31.000Z	9		0	False	Banque au top avec un service disponible le soir
Facile d'utilisation.	4	665af7562ea2675cf88b9cfc	fr		BE	1	2024-06-01T12:26:31.000Z	1		0	False	Facile d'utilisation.
Facile d'utilisation	5	5fe06f79254baf001a522dd3	fr		BE	1	2024-06-01T09:48:35.000Z	2		0	False	Facile d'utilisation
Omdat alles verliep zoals ik verwachtte. 	5	584c56620000ff000a604511	nl		BE	1	2024-05-31T22:43:59.000Z	4		0	False	Omdat alles verliep zoals ik verwachtte.
Simple, efficace	5	6659ed68479c061dcd5f5cba	en		BE	1	2024-05-31T17:31:52.000Z	1		0	False	Simple et efficace
"15 années que je suis client chez eux, et le jour de ma paye ils décident de clôturer mon compte, impossible d'avoir un manager et juste des opérateurs qui ne savent pas dire pourquoi le compte est clôturé et vous raccrochent littéralement au nez ou vous parlent de départements x ou y comme s'ils étaient des centaines sans vous dire lequel alors que c'est KYC qui gère ces décisions, après vérifications des spams, un seule mail reçu de leur part 2 mois avant indiquant que mes critères ne correspondaient pas à leur politiques (je ne suis pas résident belge mais frontalier). aucun appel, aucune solution de basculement, une clôture de compte net et sans appel. Et aucune explications, aucune réponse, ils vous laissent juste dans la panade avec vos prélèvements et vos virements, sans plus aucun accès a vos informations. 

Rappelez vous 15 ans sans le moindre soucis, donc ça peut vous arriver a tous !!!! Fuyez cette banque !!!! "	1	662fe2793fbc1a001269e02e	fr		FR	1	2024-05-29T08:31:05.000Z	2		1	False	15 années de fidélité balayées d'un revers
"Bij sommige banken/brokers geef je liever geen ster dan 1 ster...dit is voor Keytrade Bank het geval.
Klant sinds 2007.
Sinds de overname door Crédit Mutuel Arkéa in 2016 is dit geëvolueerd van beste broker naar probleembroker.
Zelf werk ik met een marginaccount.
Wat loopt er nu allemaal verkeerd?
A:Sinds meer dan een jaar kan je geen interne overschrijvingen uitvoeren van de ene interne rekening naar de andere...laat staan overschrijvingen naar een andere externe rekening.
B:aan-verkoop valuta USD/Euro/USD is ook al onmogelijk sinds meer dan een jaar.
C:hun uitleg ...onze ICT zoekt naar een oplossing maar vinden ze niet...gevolg ze hebben beslist om deze dienst(kredieten via margins) te annuleren...wegens gebrek aan klanten.
Leuk ...ze maken nu reclame met woonleningen...dus als er niet genoeg klanten meer zijn stoppen ze deze dienst ook waarschijnlijk...moet je dan je huis verkopen?
D:hun prijsbepalingen (GAK) bepalen ze via APP...waar aan-/verkoopkosten niet berekend zijn...laat staan de juiste berekeningswaarde.
E:als je overschrijvingen wilt laten uitvoeren moet je een bericht sturen naar Credit Keytrade omdat ze toestemming moeten geven...na een week zijn deze nog niet uitgevoerd.
F:telefonisch contact: een ramp...ooit meegemaakt dat je meer dan dertig minuten moet wachten. 
"	1	644cedaa192d6f001379efd1	nl		BE	1	2024-05-26T19:02:02.000Z	3		0	False	Bij sommige banken/brokers geef je…Keytrade forever?
"



Onlangs heb ik online een rekening bij uw bank geopend. Na ontvangst van een bevestigingsmail ging ik ervan uit dat alles in orde was. Er werd aangegeven dat ik een brief zou ontvangen met de inloggegevens en een QR-code. Na drie weken wachten was er echter nog steeds niets in mijn brievenbus aangekomen.

Hierop heb ik contact opgenomen met uw klantenservice. Zij boden een oplossing aan en stuurden een nieuwe brief. Deze brief arriveerde na een lange week eindelijk, maar tot mijn grote teleurstelling bevatte deze geen herstelcode, waardoor ik niet kon inloggen in de app.

Ik ben zeer ontevreden over deze gang van zaken. Het proces heeft veel te lang geduurd en de communicatie was gebrekkig. Daarnaast is het feit dat de tweede brief opnieuw onvolledig was, zeer frustrerend. Deze situatie heeft mij onnodig veel tijd en moeite gekost en heeft mijn vertrouwen in uw dienstverlening geschaad.

Ik verzoek u dringend om deze kwestie zo spoedig mogelijk op te lossen. Graag ontvang ik per direct de benodigde herstelcode zodat ik eindelijk toegang kan krijgen tot mijn account. Tevens verwacht ik een verklaring en een passende compensatie voor de geleden ongemakken.

Ik zie uw reactie met interesse tegemoet.



"	1	66274917273e0e0012f63e94	nl	"Beste,

Bedankt voor uw feedback. Weet dat we deze feedback als essentieel zien om onze diensten te verbeteren om in de toekomst dit type van problemen te vermijden. 
De toegang tot uw rekening is actief sinds 24 mei. 
Onze excuses voor het ongemak.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-05-23T18:32:19.000Z	1	2024-06-14T12:10:10.000Z	0	False	Betreft: trage en onvolledige levering van inloggegevens
Fraude gebeurt met mijn kredietkaart voor een aanzienlijk bedrag met 3 cijfers. Keytradebank heeft mij volledig vergoed. Ik lees daarnet dat maar 1 op 3 slachtoffers worden vergoed door de bank. Proficiat 	5	534290f800006400016cf39e	nl		BE	1	2024-05-19T09:40:49.000Z	44		0	False	Fraude gebeurt met mijn kredietkaart…
Good Company, nice service! 	5	6648d63a2e338d26147e1ae2	en		BE	1	2024-05-18T18:25:14.000Z	2		0	False	Good Company
Al jaren tevreden klant. Een bank die je niet laat betalen voor het beheer van je eigen geld. App is beter geworden, maar nog niet optimaal. Jammer dat de functionaliteit met Payconic niet meer werkt zoals voorheen. Al bij al zeer tevreden.	5	5b90e6244de5666d345d5b34	nl		BE	1	2024-05-18T11:14:41.000Z	2		0	False	De enige bank waar je geld krijgt bij het gebruik van je rekening
"Extreem trage, slechte en ongeinteresseerde klantenservice!!

Het duurde vier (4!) maanden alvorens ik toegang hersteld had nadat ik m'n inloggegevens kwijt was.
Deze vertragingen waren voor 100% te wijten aan Keytrade Bank.

Tientallen telefoontjes en emails zonder antwoord - absoluut te vermijden zodra je ook maar iets nodig hebt van de klantendienst!!"	1	577a8fc00000ff000a2ec15f	nl		GB	1	2024-05-17T20:45:47.000Z	6		0	False	Extreem slechte klantenservice
Application intuitive et complète	5	6644993dd5fa24ee9b1569b4	fr		BE	1	2024-05-15T13:15:10.000Z	1		0	False	Application intuitive et complète
Problemen met bankkaart en nog een aantal dingen. Klacht moeten indienen bij ombudsfin. Weinig of geen respons van Keytrade. Zeer slechte service	1	66422bececd2b6449da6a25b	nl		BE	1	2024-05-13T17:04:13.000Z	1		0	False	Problemen met bankkaart
"Banque complètement gratuite (y compris les cartes), avec des taux sur les comptes épargne parmi les plus élevés de Belgique.
Les 5 cents bonus par opération : c’est top.
J’aime aussi la facilité de configurer un crédit hypothécaire.
Dommage que les codes QR ne sont pas dispo pour faire des versements entre amis (bancontact/payconiq).
Il manque aussi les virements instantanés et le login itsme. Mais ça reste un excellente banque que je recommande vivement."	5	61029dc231aebb00128e9c45	fr		BE	1	2024-05-13T08:02:25.000Z	2		0	False	Excellente banque gratuite
Aucune personne compétente au call center lorsqu’il y a un problème technique 	2	663a40d8f763a3cd738c0818	fr		ES	1	2024-05-07T16:55:22.000Z	1		1	False	 Service client inexistant 
"Ik kan niet via qr code betalen.
Vb:qr code aangemaakt met verzoek tot betaling aangemaakt door Pnb Fortis app.
Wordt niet gelezen door Keytrade scanner.
Bij betalingen bij winkeliers die geen payconic app.gebruiken dien ik dan casch te betalen.
Deze casch heb ik dan niet altijd bij wat dan voor problemen zorgd.



"	2	5ec4f6aece35a40b60872590	nl	"Beste FD,

Uw feedback wordt heel erg gewaardeerd. We houden er zeker rekening mee bij de verbetering van onze diensten.   

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-05-07T12:43:58.000Z	1	2024-05-08T07:35:23.000Z	0	False	Ik kan niet via qr code betalen.
"Demande de nouvelle carte visa a été très facile et intuitive.
L'ouverture d'un compte épargne pour ma fille de 2 ans et demi a été très fluide aussi. En plus c'est très pratique en tant que tuteur, d'avoir tout dans le même interface.
J'emploie quotidiennement aussi l'application KeyTrade, qui est très bien faite et régulièrement mis à jour.
Merci KeyTrade !! 
"	5	60adf6990e5e3700191201fe	fr	"Bonjour Philippe,

Nous apprécions vos commentaires positifs et sommes ravis que vous soyez satisfait de notre service. Merci !

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-05-07T10:17:00.000Z	3	2024-05-08T07:45:40.000Z	1	False	Demande de nouvelle carte visa a été…
Banque fiable et gratuite.	5	6639d9db5af12f00125fe151	fr		BE	1	2024-05-07T09:35:57.000Z	1		0	False	Satisfait
Bonne banque gratuite et qui récompense ses clients.  	5	56bb8e6e0000ff000a04e5e6	fr		BE	1	2024-05-06T15:04:43.000Z	22		0	False	Bonne banque gratuite et qui récompense…
"Banque pionniere dans son secteur/niche il y a une dizaine d'années et très aimée par son ""public"".
Helas le groupe qui l'a achetée la laisse en décrépitude et dépérir. 
Pas de possibilité de s'y connecter via Itsme, mails Hyper harcèlents et intrusifs pour fournir des données personnelles socio-économiques et financières.
L'interface pas très ergonomique non plus.
Bref, toute une politique orientée pour faire fuir le client au plus vite.
Ça m'attriste fortement de voir ca😪😪😪."	3	5fc900a247a9d7001c924015	fr	"Bonjour Alina,

Merci pour votre avis. Votre feedback est essentiel pour nous améliorer. Nous travaillons sur les points d’amélioration que vous avez mentionnés.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-05-06T14:10:43.000Z	10	2024-05-08T07:33:06.000Z	1	False	Retard technologique. 
vlotte werking	5	5b8fce624de5666d34804c6c	nl		BE	1	2024-05-03T15:42:11.000Z	3		0	False	vlotte werking
Duidelijke website	5	6633bfea595dcc001259ff51	nl		BE	1	2024-05-02T18:31:40.000Z	1		0	False	Website
Handig voor overal via de app in te spelen op de markt	4	60a93fd4b00467001a383609	nl		BE	1	2024-05-02T17:08:30.000Z	4		0	False	Handig voor overal via de app in te…
"Fraîchement retraité, je souhaitais faire de Keytrade Bank ma première banque, et quitter ma banque historique ING dont je suis client depuis 45 ans, afin de bénéficier des services de KB à l'avenir, chez ING je possède un compte à vue, une ""réserve permanente"" (dont je n'ai plus le besoin) et une carte de crédit MC. Avant de faire ma mutation interbancaire, je souhaitais faire la demande d'une carte Visa Gold afin de ne pas me trouver sans carte de crédit avant de partir aux USA en juillet en quittant ma banque historique...je rêvais éveillé apparemment, ma demande a été refusée sans aucune explication comme beaucoup d'avis laissés ici. Jamais fiché à la centrale négative depuis mes 18 ans ! Cela m'apprendra à croire que des banques ""alternatives"" puissent fonctionner comme les autres, seule possibilité qui s'offrait à moi: enterrer mon souhait de devenir client, résilier mes comptes et rester chez ma banque historique ! "	1	52962f69000064000156f794	fr		BE	1	2024-05-02T14:59:58.000Z	33		2	True	Carte Visa refusée sans explications sans jamais avoir été fiché négativement
Ik heb geen problemen. Winkelen met de kaart en nog een beetje verdienen is top. Ik moet het van de kleine dingen hebben 	4	52b40f7600006400015ab1b3	nl		BE	1	2024-05-02T14:07:02.000Z	2		0	False	Ik heb geen problemen
Banque sans frais cachés. Efficace. Application mobile pratique	4	546856c2000064000196d7be	fr		BE	1	2024-05-02T12:09:19.000Z	2		0	False	Banque sans frais cachés
Ouverture de compte et emprunt hypothécaire	5	59d768ae0000ff000ad1b594	fr		BE	1	2024-05-02T09:29:34.000Z	8		1	False	Bon suivi lors de notre enprunt.
"Je suis très content de Keytrade bank et de ses services . Je ne comprends pas toujours les avis négatifs. Cette banque est vraiment gratuite et les cartes aussi: j'ai fait 12 opérations avec ma Visa Gold en date du 24 avril 2024 et le compteur m'indique que la carte de crédit est gratuite jusqu'au 20 mars 2026, 2025 gratuit + 3 mois offerts.
Les services téléphoniques sont bons et dernièrement je n'ai plus eu à attendre 30 minutes comme il y a 2 mois: 5 minutes tout au plus.
Et utiliser la carte Visa Débit peut vous rapporter jusqu'à 2,50 euros par mois.
 Bravo à cette banque . "	5	655c92d92309f20012b2a649	fr	"Bonjour Pierre,

Nous sommes ravis d'entendre que vous appréciez notre service. Votre critique positive signifie beaucoup pour nous. Merci d'avoir pris le temps de partager votre expérience.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-04-26T12:25:11.000Z	2	2024-04-29T14:30:40.000Z	0	False	Je suis très content de Keytrade bank…
Très satisfait de Keytrade. Bien davantage que toutes les autres banques.	5	64227c3633093800131f6602	fr	"Bonjour Francis A.F.A.

Nous sommes ravis de recevoir des commentaires si positifs. Merci de partager votre expérience !

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-04-24T07:13:24.000Z	2	2024-04-24T13:25:15.000Z	0	False	Très satisfait de Keytrade
"Na een teleurstellende ervaring met deze zogenaamde « bank » voel ik me genoodzaakt mijn ervaring te delen. Ik heb recentelijk geprobeerd mijn aandelen te verkopen, maar de service was ronduit verschrikkelijk. Na weken van wachten en meerdere keren contact opnemen met de klantenservice, ben ik nog steeds niet in staat geweest om mijn geld te ontvangen.

Elke keer als ik contact opnam met de klantenservice kreeg ik tegenstrijdige informatie en beloftes die niet werden nagekomen. Het gebrek aan communicatie en de onwil om mijn probleem serieus te nemen, heeft geleid tot aanzienlijk financieel verlies en frustratie aan mijn kant.

Ik ben diep teleurgesteld in de incompetentie van deze bank en hun onvermogen om klanttevredenheid te waarborgen. Ik raad ten zeerste af om zaken te doen met Keytrade, tenzij u bereid bent om te worstelen met vertragingen, verwarring en gebrek aan service.

Het is duidelijk dat deze bank niet de beloften nakomt die ze maken in hun marketingmateriaal en ik zal mijn financiële zaken elders afhandelen in de toekomst."	1	66269da795f31d00121ff2f1	nl	"Beste Consumer,

We betreuren wat u blijkbaar hebt ervaren. Weet dat we deze feedback als essentieel zien om onze diensten te verbeteren om in de toekomst dit type van problemen te vermijden.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-04-22T19:26:17.000Z	1	2024-04-24T12:42:53.000Z	0	False	Teleurstellende ervaring met gebrekkige service en vertraagde transacties bij  Keytrade
"Contact impossible avec une personne en particulier, ou même un service interne. Etant client titres, certaines opérations demandent un suivi particulier.
Je reçois, à ce sujet, des mails : ceux-ci sont identiques à ceux reçus d'un pays lointain, pleins de fautes d'orthographe et d'explications incohérentes.
Tout ceci est INDIGNE d'une banque Belge.
On vous dit de vous méfier des mails frauduleux, mais ceux envoyés par Keytrade, et en particulier par le service ""Corporate Actions"" sont honteux, plein de fautes et d'incohérences. Lorsqu'on leur écrit, aucune réponse, le mépris le plus total. Le même problème s'est produit en 2023, j'ai également réagis, sans suite....Lorsque je désire contacter un responsable, dont de belles photos ornent le site, cela est impossible (Monsieur Questiaux). Le contact téléphonique est aussi ouvert qu'avec une prison..., et toute adresse mail personnelle est proscrite. De quoi vous dégoûter
de cette banque (où je suis client, mais dépité..) 
Je compte finalement demander l'avis de ces mails ""pourris""  à l'ombudsman des banques. 
Merci de votre lecture et à réfléchir 2 fois avant d'en être captif comme client..... A.V    "	1	61bcb33af3e60f0012d02a5d	fr	"Bonjour Monsieur VW André,

Nous sommes vraiment désolés de lire votre expérience. Votre feedback est essentiel pour améliorer nos services. 
Nous aimerions en savoir plus sur votre situation et travailler à une résolution.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-04-22T12:20:10.000Z	4	2024-04-24T13:29:02.000Z	1	False	Contact impossible-Service inexistant- déplorable
Wil een rekening openen maar geraak niet verder dan de laatste pagina. Ik zou iets niet ingevuld hebben, terwijl dit wel is. Heb het opgegeven...	1	5fc7c22f47a9d7001c918ec4	nl	"Beste Wendy,

Bedankt voor uw feedback. We betreuren wat u blijkbaar hebt ervaren. Aarzel niet om het ons meer in detail uit te leggen zodat we aan een oplossing kunnen werken.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2024-04-21T19:38:14.000Z	3	2024-04-24T13:23:24.000Z	2	False	Wil een rekening openen maar geraak…
"les informations sont claires 
le site est rapide et d'un usage commode
client depuis 20 ans j'apprécie le service sérieux et professionnel pour un coût raisonnable.
"	4	662510381b72610012f80eed	fr		BE	1	2024-04-21T15:10:18.000Z	1		0	False	les informations sont claires 
Très mauvais services. On m'a volé de l'argent en ligne et la banque ne m'a pas du tout aidée. Selon le gestionnaire sur lequel je tombais, l'information était différente. Ils se renvoie la balle entre services, font des erreurs de suivi et puis ne donne plus de nouvelle. J'ai perdu beaucoup de temps et d'énergie à faire valoir mes droits qui n'ont pas été entendu alors que j'ai fait toutes les démarches nécessaires. 	1	66228500e9b842001206a39f	fr	"Bonjour Gabriel,

Nous regrettons d'entendre parler de votre expérience. Nous nous engageons à améliorer nos services et vos commentaires sont inestimables pour nous.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2024-04-19T16:52:07.000Z	1	2024-04-24T13:21:20.000Z	0	False	Mauvais services
"plotseling blokeren van al mijn rekeningen zonder boe of ba geen tel geen bericht via email of op mijn acount interne post niets
na 3 weken an email dat ik mijn adres niet had aangepast bij mijn verhuis
ik heb nog twee andere banken had ik ook niet gedaan maar daar absoluut geen probleem,mailtje gestuurd met de nodige doc en hub alles ok en dit zonder de rekeningen te blokeren
keytrade trachten te contacteren tot mijn verbazing permanent gesloten 
ik denk dat ze in slechte papieren zitten en dat ik mijn geld kwijt ben
wat een slechte bank GEEN AANRADER ondanks hun reklame NIET DOEN IS MIJN ADVIES"	1	661fcedb2a442a00113f3b3f	nl	"Beste heer vandriessche,

We betreuren wat u blijkbaar hebt ervaren. Een medewerker heeft u inmiddels gecontacteerd in verband met uw rekeningen en uw dossier in handen genomen. Wij waarderen uw geduld.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	FR	1	2024-04-17T15:30:12.000Z	1	2024-04-30T14:33:05.000Z	1	False	plotseling blokeren van al mijn rekeningen 
Une banque qui rémunère les transactions effectuées au lieu de faire payer des frais de gestion coca donne le ton. Gros efforts pour rendre l’app beaucoup plus “user friendly” récemment. 	5	6197b93af73c86001265347c	fr		BE	1	2024-04-16T23:19:32.000Z	3		0	False	Une banque qui rémunère les…
Alles gaat heel vlot, kosten zijn niet te hoog	5	5aa2afdd4de5666d34ec28b1	nl		BE	1	2024-04-16T22:14:21.000Z	6		0	False	Alles gaat heel vlot
"Wat een klucht…
De aanvraag voor een bankkaart en het installeren van de bijbehorende app voor mijn dochter geraakt niet opgelost. Sinds juli vorig jaar heb ik herhaaldelijk contact opgenomen via e-mail en telefoon om deze kwestie op te lossen, maar tot op heden is er geen vooruitgang. Geen enkele QR-code werkt, geen enkele herstelcode werkt, na kantooruren zo goed als niet bereikbaar (alhoewel op alle briefwisseling het telefoonnummer staat) enz …
Ik raad deze bank ten zeerste af… ik stop er alleszins mee…


"	1	661eca8d199d2b0012802260	nl	"Beste Eliane,

Uiteraard vinden we het jammer om dit te lezen. Weet alvast dat we uw feedback als essentieel zien om onze diensten te verbeteren om in de toekomst dit type van problemen te vermijden.
Onze excuses voor het ongemak.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team
"	BE	1	2024-04-16T20:59:33.000Z	1	2024-04-24T13:17:29.000Z	1	False	Wat een klucht…
"Gratis bank en kredietkaart?(basis)Kredietkaart geweigerd terwijl al jaren Gold bij andere bank...
Valse reklame."	1	6506c5a2b1c4eb0011ea77e2	nl		IT	1	2024-04-13T08:41:42.000Z	2		1	False	Valse reklame
"Bank that is not reachable.
Use of very dirty tactics like messing with the music on the waiting queue (distorted sound), and keep you ages on the line."	1	6377e85ee82af90013e875d9	en		BE	1	2024-04-12T10:44:45.000Z	2		0	False	Bank that is not reachable.
